total,top_n_accuracy,top_1_accuracy,mean_precision,mean_recall,mean_f1,mean_mrr,vn_weight,sem_weight,min_sim,top_n
73,0.3150684931506849,0.1095890410958904,0.1404109589041096,0.13462165688193087,0.1238213840953567,0.22831050228310498,0.6,0.6,0.5,5
73,0.1506849315068493,0.0821917808219178,0.091324200913242,0.07648401826484016,0.07590780604479234,0.14383561643835616,0.6,0.6,0.6,5
73,0.4794520547945205,0.1506849315068493,0.12876712328767123,0.2223091976516634,0.14947639879146726,0.30844748858447485,0.6,0.4,0.2,5
73,0.4794520547945205,0.1506849315068493,0.12876712328767123,0.2223091976516634,0.14947639879146726,0.30844748858447485,0.6,0.4,0.3,5
73,0.3150684931506849,0.1095890410958904,0.14269406392694065,0.13348010437051533,0.12435410860068395,0.22648401826484016,0.6,0.4,0.4,5
73,0.136986301369863,0.0684931506849315,0.0776255707762557,0.06278538812785388,0.062209175907806044,0.13013698630136986,0.6,0.4,0.5,5
73,0.0684931506849315,0.0547945205479452,0.0684931506849315,0.033105022831050226,0.04200913242009132,0.0684931506849315,0.6,0.4,0.6,5
73,0.4931506849315068,0.1506849315068493,0.12876712328767123,0.231767775603392,0.1525304223934361,0.3093607305936073,0.6,0.2,0.2,5
73,0.273972602739726,0.1095890410958904,0.141324200913242,0.11635681669928245,0.11179703097511316,0.21164383561643835,0.6,0.2,0.3,5
73,0.136986301369863,0.0684931506849315,0.0776255707762557,0.06278538812785388,0.062209175907806044,0.13013698630136986,0.6,0.2,0.4,5
73,0.0684931506849315,0.0547945205479452,0.0684931506849315,0.033105022831050226,0.04200913242009132,0.0684931506849315,0.6,0.2,0.5,5
73,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.017123287671232876,0.01917808219178082,0.0273972602739726,0.6,0.2,0.6,5
73,0.273972602739726,0.1095890410958904,0.141324200913242,0.11179060665362034,0.10768744193401729,0.2034246575342466,0.6,0.0,0.2,5
73,0.2602739726027397,0.0958904109589041,0.1276255707762557,0.09809197651663404,0.09398881179703099,0.1897260273972603,0.6,0.0,0.3,5
73,0.0547945205479452,0.0410958904109589,0.0547945205479452,0.026255707762557076,0.03287671232876712,0.0547945205479452,0.6,0.0,0.4,5
73,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.017123287671232876,0.01917808219178082,0.0273972602739726,0.6,0.0,0.5,5
73,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.017123287671232876,0.01917808219178082,0.0273972602739726,0.6,0.0,0.6,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21905577299412915,0.14626165311096814,0.3070776255707762,0.8,1.0,0.2,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21905577299412915,0.14626165311096814,0.3070776255707762,0.8,1.0,0.3,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21905577299412915,0.14626165311096814,0.3070776255707762,0.8,1.0,0.4,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21905577299412915,0.14626165311096814,0.3070776255707762,0.8,1.0,0.5,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21905577299412915,0.14626165311096814,0.3070776255707762,0.8,1.0,0.6,5
